trait	distance	cutoff	snp_set	Targeted_PositiveControl	enrichment	gene_set
Glucose	810000	log10 BF > 2	DHS SNPs	99	1.42	Expression
Glucose	820000	log10 BF > 2	DHS SNPs	100	1.42	Expression
Glucose	830000	log10 BF > 2	DHS SNPs	101	1.42	Expression
Glucose	840000	log10 BF > 2	DHS SNPs	103	1.43	Expression
Glucose	850000	log10 BF > 2	DHS SNPs	104	1.43	Expression
Glucose	860000	log10 BF > 2	DHS SNPs	105	1.43	Expression
Glucose	870000	log10 BF > 2	DHS SNPs	105	1.42	Expression
Glucose	880000	log10 BF > 2	DHS SNPs	105	1.41	Expression
Glucose	890000	log10 BF > 2	DHS SNPs	107	1.42	Expression
Glucose	900000	log10 BF > 2	DHS SNPs	107	1.4	Expression
Glucose	910000	log10 BF > 2	DHS SNPs	108	1.4	Expression
Glucose	920000	log10 BF > 2	DHS SNPs	108	1.39	Expression
Glucose	930000	log10 BF > 2	DHS SNPs	108	1.37	Expression
Glucose	940000	log10 BF > 2	DHS SNPs	110	1.39	Expression
Glucose	950000	log10 BF > 2	DHS SNPs	111	1.39	Expression
Glucose	960000	log10 BF > 2	DHS SNPs	114	1.42	Expression
Glucose	970000	log10 BF > 2	DHS SNPs	114	1.4	Expression
Glucose	980000	log10 BF > 2	DHS SNPs	114	1.4	Expression
Glucose	990000	log10 BF > 2	DHS SNPs	114	1.39	Expression
Glucose	1000000	log10 BF > 2	DHS SNPs	114	1.37	Expression
Glucose	10000	log10 BF > 2	All SNPs	5	20.65	Disease + Drug
Glucose	20000	log10 BF > 2	All SNPs	7	18.17	Disease + Drug
Glucose	30000	log10 BF > 2	All SNPs	8	16.33	Disease + Drug
Glucose	40000	log10 BF > 2	All SNPs	9	15.57	Disease + Drug
Glucose	50000	log10 BF > 2	All SNPs	9	12.83	Disease + Drug
Glucose	60000	log10 BF > 2	All SNPs	10	12.57	Disease + Drug
Glucose	70000	log10 BF > 2	All SNPs	10	11.01	Disease + Drug
Glucose	80000	log10 BF > 2	All SNPs	10	9.88	Disease + Drug
Glucose	90000	log10 BF > 2	All SNPs	10	9.22	Disease + Drug
Glucose	100000	log10 BF > 2	All SNPs	10	8.63	Disease + Drug
Glucose	110000	log10 BF > 2	All SNPs	10	7.99	Disease + Drug
Glucose	120000	log10 BF > 2	All SNPs	10	7.67	Disease + Drug
Glucose	130000	log10 BF > 2	All SNPs	10	7.25	Disease + Drug
Glucose	140000	log10 BF > 2	All SNPs	10	6.82	Disease + Drug
Glucose	150000	log10 BF > 2	All SNPs	10	6.51	Disease + Drug
Glucose	160000	log10 BF > 2	All SNPs	10	6.3	Disease + Drug
Glucose	170000	log10 BF > 2	All SNPs	10	6.06	Disease + Drug
Glucose	180000	log10 BF > 2	All SNPs	10	5.9	Disease + Drug
Glucose	190000	log10 BF > 2	All SNPs	10	5.62	Disease + Drug
Glucose	200000	log10 BF > 2	All SNPs	10	5.49	Disease + Drug
Glucose	210000	log10 BF > 2	All SNPs	11	5.9	Disease + Drug
Glucose	220000	log10 BF > 2	All SNPs	11	5.66	Disease + Drug
Glucose	230000	log10 BF > 2	All SNPs	11	5.51	Disease + Drug
Glucose	240000	log10 BF > 2	All SNPs	11	5.32	Disease + Drug
Glucose	250000	log10 BF > 2	All SNPs	11	5.07	Disease + Drug
Glucose	260000	log10 BF > 2	All SNPs	11	4.93	Disease + Drug
Glucose	270000	log10 BF > 2	All SNPs	11	4.77	Disease + Drug
Glucose	280000	log10 BF > 2	All SNPs	11	4.66	Disease + Drug
Glucose	290000	log10 BF > 2	All SNPs	11	4.52	Disease + Drug
Glucose	300000	log10 BF > 2	All SNPs	11	4.4	Disease + Drug
Glucose	310000	log10 BF > 2	All SNPs	12	4.7	Disease + Drug
Glucose	320000	log10 BF > 2	All SNPs	12	4.57	Disease + Drug
Glucose	330000	log10 BF > 2	All SNPs	12	4.44	Disease + Drug
Glucose	340000	log10 BF > 2	All SNPs	12	4.33	Disease + Drug
Glucose	350000	log10 BF > 2	All SNPs	12	4.25	Disease + Drug
Glucose	360000	log10 BF > 2	All SNPs	12	4.15	Disease + Drug
Glucose	370000	log10 BF > 2	All SNPs	12	4.06	Disease + Drug
Glucose	380000	log10 BF > 2	All SNPs	12	4	Disease + Drug
Glucose	390000	log10 BF > 2	All SNPs	12	3.91	Disease + Drug
Glucose	400000	log10 BF > 2	All SNPs	12	3.84	Disease + Drug
Glucose	410000	log10 BF > 2	All SNPs	12	3.75	Disease + Drug
Glucose	420000	log10 BF > 2	All SNPs	12	3.68	Disease + Drug
Glucose	430000	log10 BF > 2	All SNPs	12	3.61	Disease + Drug
Glucose	440000	log10 BF > 2	All SNPs	12	3.53	Disease + Drug
Glucose	450000	log10 BF > 2	All SNPs	13	3.76	Disease + Drug
Glucose	460000	log10 BF > 2	All SNPs	13	3.7	Disease + Drug
Glucose	470000	log10 BF > 2	All SNPs	13	3.63	Disease + Drug
Glucose	480000	log10 BF > 2	All SNPs	13	3.57	Disease + Drug
Glucose	490000	log10 BF > 2	All SNPs	13	3.52	Disease + Drug
Glucose	500000	log10 BF > 2	All SNPs	13	3.46	Disease + Drug
Glucose	510000	log10 BF > 2	All SNPs	13	3.42	Disease + Drug
Glucose	520000	log10 BF > 2	All SNPs	13	3.35	Disease + Drug
Glucose	530000	log10 BF > 2	All SNPs	13	3.3	Disease + Drug
Glucose	540000	log10 BF > 2	All SNPs	13	3.25	Disease + Drug
Glucose	550000	log10 BF > 2	All SNPs	13	3.19	Disease + Drug
Glucose	560000	log10 BF > 2	All SNPs	13	3.15	Disease + Drug
Glucose	570000	log10 BF > 2	All SNPs	13	3.1	Disease + Drug
Glucose	580000	log10 BF > 2	All SNPs	13	3.05	Disease + Drug
Glucose	590000	log10 BF > 2	All SNPs	13	3	Disease + Drug
Glucose	600000	log10 BF > 2	All SNPs	13	2.93	Disease + Drug
Glucose	610000	log10 BF > 2	All SNPs	13	2.9	Disease + Drug
Glucose	620000	log10 BF > 2	All SNPs	14	3.09	Disease + Drug
Glucose	630000	log10 BF > 2	All SNPs	14	3.05	Disease + Drug
Glucose	640000	log10 BF > 2	All SNPs	14	3.01	Disease + Drug
Glucose	650000	log10 BF > 2	All SNPs	15	3.18	Disease + Drug
Glucose	660000	log10 BF > 2	All SNPs	15	3.14	Disease + Drug
Glucose	670000	log10 BF > 2	All SNPs	15	3.1	Disease + Drug
Glucose	680000	log10 BF > 2	All SNPs	15	3.07	Disease + Drug
Glucose	690000	log10 BF > 2	All SNPs	15	3.01	Disease + Drug
Glucose	700000	log10 BF > 2	All SNPs	15	2.97	Disease + Drug
Glucose	710000	log10 BF > 2	All SNPs	15	2.94	Disease + Drug
Glucose	720000	log10 BF > 2	All SNPs	15	2.92	Disease + Drug
Glucose	730000	log10 BF > 2	All SNPs	15	2.89	Disease + Drug
Glucose	740000	log10 BF > 2	All SNPs	15	2.86	Disease + Drug
Glucose	750000	log10 BF > 2	All SNPs	15	2.81	Disease + Drug
Glucose	760000	log10 BF > 2	All SNPs	15	2.78	Disease + Drug
Glucose	770000	log10 BF > 2	All SNPs	15	2.76	Disease + Drug
Glucose	780000	log10 BF > 2	All SNPs	15	2.72	Disease + Drug
Glucose	790000	log10 BF > 2	All SNPs	15	2.69	Disease + Drug
Glucose	800000	log10 BF > 2	All SNPs	15	2.66	Disease + Drug
Glucose	810000	log10 BF > 2	All SNPs	15	2.63	Disease + Drug
Glucose	820000	log10 BF > 2	All SNPs	15	2.61	Disease + Drug
Glucose	830000	log10 BF > 2	All SNPs	15	2.58	Disease + Drug
Glucose	840000	log10 BF > 2	All SNPs	15	2.56	Disease + Drug
Glucose	850000	log10 BF > 2	All SNPs	15	2.54	Disease + Drug
Glucose	860000	log10 BF > 2	All SNPs	16	2.67	Disease + Drug
Glucose	870000	log10 BF > 2	All SNPs	16	2.65	Disease + Drug
Glucose	880000	log10 BF > 2	All SNPs	16	2.63	Disease + Drug
Glucose	890000	log10 BF > 2	All SNPs	16	2.61	Disease + Drug
Glucose	900000	log10 BF > 2	All SNPs	16	2.58	Disease + Drug
Glucose	910000	log10 BF > 2	All SNPs	16	2.55	Disease + Drug
Glucose	920000	log10 BF > 2	All SNPs	16	2.53	Disease + Drug
Glucose	930000	log10 BF > 2	All SNPs	16	2.51	Disease + Drug
Glucose	940000	log10 BF > 2	All SNPs	16	2.49	Disease + Drug
Glucose	950000	log10 BF > 2	All SNPs	16	2.47	Disease + Drug
Glucose	960000	log10 BF > 2	All SNPs	17	2.6	Disease + Drug
Glucose	970000	log10 BF > 2	All SNPs	17	2.58	Disease + Drug
Glucose	980000	log10 BF > 2	All SNPs	17	2.56	Disease + Drug
Glucose	990000	log10 BF > 2	All SNPs	17	2.54	Disease + Drug
Glucose	1000000	log10 BF > 2	All SNPs	17	2.51	Disease + Drug
Glucose	10000	log10 BF > 2	DHS SNPs (Trait-Specific)	4	58.14	Disease + Drug
Glucose	20000	log10 BF > 2	DHS SNPs (Trait-Specific)	4	33.8	Disease + Drug
Glucose	30000	log10 BF > 2	DHS SNPs (Trait-Specific)	5	30.8	Disease + Drug
Glucose	40000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	34.85	Disease + Drug
Glucose	50000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	31.8	Disease + Drug
Glucose	60000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	27.65	Disease + Drug
Glucose	70000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	23.34	Disease + Drug
Glucose	80000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	21.2	Disease + Drug
Glucose	90000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	19.42	Disease + Drug
Glucose	100000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	17.67	Disease + Drug
Glucose	110000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	16	Disease + Drug
Glucose	120000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	15.32	Disease + Drug
Glucose	130000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	14.54	Disease + Drug
Glucose	140000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	13.53	Disease + Drug
Glucose	150000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	12.91	Disease + Drug
Glucose	160000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	12.29	Disease + Drug
Glucose	170000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	11.78	Disease + Drug
Glucose	180000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	11.41	Disease + Drug
Glucose	190000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	10.64	Disease + Drug
Glucose	200000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	10.18	Disease + Drug
Glucose	210000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	9.82	Disease + Drug
Glucose	220000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	9.25	Disease + Drug
Glucose	230000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	8.89	Disease + Drug
Glucose	240000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	8.54	Disease + Drug
Glucose	250000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	8.08	Disease + Drug
Glucose	260000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	7.85	Disease + Drug
Glucose	270000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	7.57	Disease + Drug
Glucose	280000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	7.27	Disease + Drug
Glucose	290000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	7.15	Disease + Drug
Glucose	300000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	6.95	Disease + Drug
Glucose	310000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	6.75	Disease + Drug
Glucose	320000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	6.56	Disease + Drug
Glucose	330000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	6.28	Disease + Drug
Glucose	340000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	6.13	Disease + Drug
Glucose	350000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.89	Disease + Drug
Glucose	360000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.74	Disease + Drug
Glucose	370000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.67	Disease + Drug
Glucose	380000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.51	Disease + Drug
Glucose	390000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.34	Disease + Drug
Glucose	400000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.22	Disease + Drug
Glucose	410000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	5.09	Disease + Drug
Glucose	420000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	4.96	Disease + Drug
Glucose	430000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	4.85	Disease + Drug
Glucose	440000	log10 BF > 2	DHS SNPs (Trait-Specific)	7	4.79	Disease + Drug
Glucose	450000	log10 BF > 2	DHS SNPs (Trait-Specific)	8	5.34	Disease + Drug
Glucose	460000	log10 BF > 2	DHS SNPs (Trait-Specific)	8	5.26	Disease + Drug
Glucose	470000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.77	Disease + Drug
Glucose	480000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.71	Disease + Drug
Glucose	490000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.63	Disease + Drug
Glucose	500000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.51	Disease + Drug
Glucose	510000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.42	Disease + Drug
Glucose	520000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.34	Disease + Drug
Glucose	530000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.27	Disease + Drug
Glucose	540000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.14	Disease + Drug
Glucose	550000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	5.01	Disease + Drug
Glucose	560000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.93	Disease + Drug
Glucose	570000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.88	Disease + Drug
Glucose	580000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.82	Disease + Drug
Glucose	590000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.75	Disease + Drug
Glucose	600000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.69	Disease + Drug
Glucose	610000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.6	Disease + Drug
Glucose	620000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.56	Disease + Drug
Glucose	630000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.48	Disease + Drug
Glucose	640000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.41	Disease + Drug
Glucose	650000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.34	Disease + Drug
Glucose	660000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.3	Disease + Drug
Glucose	670000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.24	Disease + Drug
Glucose	680000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.21	Disease + Drug
Glucose	690000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.16	Disease + Drug
Glucose	700000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.09	Disease + Drug
Glucose	710000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.06	Disease + Drug
Glucose	720000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.03	Disease + Drug
Glucose	730000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	4.01	Disease + Drug
Glucose	740000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.96	Disease + Drug
Glucose	750000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.89	Disease + Drug
Glucose	760000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.86	Disease + Drug
Glucose	770000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.84	Disease + Drug
Glucose	780000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.79	Disease + Drug
Glucose	790000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.73	Disease + Drug
Glucose	800000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.7	Disease + Drug
Glucose	810000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.64	Disease + Drug
Glucose	820000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.6	Disease + Drug
Glucose	830000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.57	Disease + Drug
Glucose	840000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.54	Disease + Drug
Glucose	850000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.51	Disease + Drug
Glucose	860000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.48	Disease + Drug
Glucose	870000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.45	Disease + Drug
Glucose	880000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.41	Disease + Drug
Glucose	890000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.38	Disease + Drug
Glucose	900000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.34	Disease + Drug
Glucose	910000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.31	Disease + Drug
Glucose	920000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.3	Disease + Drug
Glucose	930000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.28	Disease + Drug
Glucose	940000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.25	Disease + Drug
Glucose	950000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.23	Disease + Drug
Glucose	960000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.19	Disease + Drug
Glucose	970000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.17	Disease + Drug
Glucose	980000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.15	Disease + Drug
Glucose	990000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.13	Disease + Drug
Glucose	1000000	log10 BF > 2	DHS SNPs (Trait-Specific)	9	3.1	Disease + Drug
Glucose	10000	P-value < 5e-8	All SNPs	7	9.12	Disease + Drug
Glucose	20000	P-value < 5e-8	All SNPs	9	10.19	Disease + Drug
Glucose	30000	P-value < 5e-8	All SNPs	9	9.14	Disease + Drug
Glucose	40000	P-value < 5e-8	All SNPs	9	8.32	Disease + Drug
Glucose	50000	P-value < 5e-8	All SNPs	9	7.73	Disease + Drug
Glucose	60000	P-value < 5e-8	All SNPs	10	7.87	Disease + Drug
Glucose	70000	P-value < 5e-8	All SNPs	10	7.31	Disease + Drug
Glucose	80000	P-value < 5e-8	All SNPs	10	6.88	Disease + Drug
Glucose	90000	P-value < 5e-8	All SNPs	10	6.55	Disease + Drug
Glucose	100000	P-value < 5e-8	All SNPs	10	6.23	Disease + Drug
Glucose	110000	P-value < 5e-8	All SNPs	10	6.05	Disease + Drug
Glucose	120000	P-value < 5e-8	All SNPs	10	5.85	Disease + Drug
Glucose	130000	P-value < 5e-8	All SNPs	10	5.6	Disease + Drug
Glucose	140000	P-value < 5e-8	All SNPs	10	5.34	Disease + Drug
Glucose	150000	P-value < 5e-8	All SNPs	10	5.1	Disease + Drug
Glucose	160000	P-value < 5e-8	All SNPs	10	4.9	Disease + Drug
Glucose	170000	P-value < 5e-8	All SNPs	10	4.7	Disease + Drug
Glucose	180000	P-value < 5e-8	All SNPs	10	4.57	Disease + Drug
Glucose	190000	P-value < 5e-8	All SNPs	10	4.43	Disease + Drug
Glucose	200000	P-value < 5e-8	All SNPs	11	4.71	Disease + Drug
Glucose	210000	P-value < 5e-8	All SNPs	11	4.59	Disease + Drug
Glucose	220000	P-value < 5e-8	All SNPs	11	4.41	Disease + Drug
Glucose	230000	P-value < 5e-8	All SNPs	11	4.3	Disease + Drug
Glucose	240000	P-value < 5e-8	All SNPs	11	4.15	Disease + Drug
Glucose	250000	P-value < 5e-8	All SNPs	11	4.03	Disease + Drug
Glucose	260000	P-value < 5e-8	All SNPs	11	3.93	Disease + Drug
Glucose	270000	P-value < 5e-8	All SNPs	11	3.79	Disease + Drug
Glucose	280000	P-value < 5e-8	All SNPs	11	3.71	Disease + Drug
Glucose	290000	P-value < 5e-8	All SNPs	11	3.62	Disease + Drug
Glucose	300000	P-value < 5e-8	All SNPs	11	3.51	Disease + Drug
Glucose	310000	P-value < 5e-8	All SNPs	11	3.45	Disease + Drug
Glucose	320000	P-value < 5e-8	All SNPs	11	3.35	Disease + Drug
Glucose	330000	P-value < 5e-8	All SNPs	11	3.26	Disease + Drug
Glucose	340000	P-value < 5e-8	All SNPs	11	3.19	Disease + Drug
Glucose	350000	P-value < 5e-8	All SNPs	11	3.13	Disease + Drug
Glucose	360000	P-value < 5e-8	All SNPs	11	3.05	Disease + Drug
Glucose	370000	P-value < 5e-8	All SNPs	11	2.99	Disease + Drug
Glucose	380000	P-value < 5e-8	All SNPs	11	2.93	Disease + Drug
Glucose	390000	P-value < 5e-8	All SNPs	11	2.88	Disease + Drug
Glucose	400000	P-value < 5e-8	All SNPs	11	2.83	Disease + Drug
Glucose	410000	P-value < 5e-8	All SNPs	11	2.78	Disease + Drug
Glucose	420000	P-value < 5e-8	All SNPs	11	2.72	Disease + Drug
Glucose	430000	P-value < 5e-8	All SNPs	12	2.91	Disease + Drug
Glucose	440000	P-value < 5e-8	All SNPs	12	2.86	Disease + Drug
Glucose	450000	P-value < 5e-8	All SNPs	13	3.05	Disease + Drug
Glucose	460000	P-value < 5e-8	All SNPs	13	3	Disease + Drug
Glucose	470000	P-value < 5e-8	All SNPs	13	2.95	Disease + Drug
Glucose	480000	P-value < 5e-8	All SNPs	15	3.34	Disease + Drug
Glucose	490000	P-value < 5e-8	All SNPs	15	3.29	Disease + Drug
Glucose	500000	P-value < 5e-8	All SNPs	15	3.25	Disease + Drug
Glucose	510000	P-value < 5e-8	All SNPs	15	3.19	Disease + Drug
Glucose	520000	P-value < 5e-8	All SNPs	15	3.15	Disease + Drug
Glucose	530000	P-value < 5e-8	All SNPs	15	3.1	Disease + Drug
Glucose	540000	P-value < 5e-8	All SNPs	15	3.05	Disease + Drug
Glucose	550000	P-value < 5e-8	All SNPs	15	3.02	Disease + Drug
Glucose	560000	P-value < 5e-8	All SNPs	15	2.97	Disease + Drug
Glucose	570000	P-value < 5e-8	All SNPs	15	2.91	Disease + Drug
Glucose	580000	P-value < 5e-8	All SNPs	15	2.87	Disease + Drug
Glucose	590000	P-value < 5e-8	All SNPs	15	2.83	Disease + Drug
Glucose	600000	P-value < 5e-8	All SNPs	15	2.78	Disease + Drug
Glucose	610000	P-value < 5e-8	All SNPs	16	2.92	Disease + Drug
Glucose	620000	P-value < 5e-8	All SNPs	16	2.88	Disease + Drug
Glucose	630000	P-value < 5e-8	All SNPs	16	2.85	Disease + Drug
Glucose	640000	P-value < 5e-8	All SNPs	16	2.82	Disease + Drug
Glucose	650000	P-value < 5e-8	All SNPs	17	2.96	Disease + Drug
Glucose	660000	P-value < 5e-8	All SNPs	17	2.93	Disease + Drug
Glucose	670000	P-value < 5e-8	All SNPs	17	2.9	Disease + Drug
Glucose	680000	P-value < 5e-8	All SNPs	17	2.86	Disease + Drug
Glucose	690000	P-value < 5e-8	All SNPs	17	2.84	Disease + Drug
Glucose	700000	P-value < 5e-8	All SNPs	17	2.8	Disease + Drug
Glucose	710000	P-value < 5e-8	All SNPs	17	2.76	Disease + Drug
Glucose	720000	P-value < 5e-8	All SNPs	17	2.74	Disease + Drug
Glucose	730000	P-value < 5e-8	All SNPs	17	2.72	Disease + Drug
Glucose	740000	P-value < 5e-8	All SNPs	17	2.69	Disease + Drug
Glucose	750000	P-value < 5e-8	All SNPs	17	2.65	Disease + Drug
Glucose	760000	P-value < 5e-8	All SNPs	17	2.63	Disease + Drug
Glucose	770000	P-value < 5e-8	All SNPs	17	2.6	Disease + Drug
Glucose	780000	P-value < 5e-8	All SNPs	17	2.57	Disease + Drug
Glucose	790000	P-value < 5e-8	All SNPs	17	2.54	Disease + Drug
Glucose	800000	P-value < 5e-8	All SNPs	17	2.51	Disease + Drug
Glucose	810000	P-value < 5e-8	All SNPs	17	2.49	Disease + Drug
Glucose	820000	P-value < 5e-8	All SNPs	17	2.47	Disease + Drug
Glucose	830000	P-value < 5e-8	All SNPs	17	2.44	Disease + Drug
Glucose	840000	P-value < 5e-8	All SNPs	17	2.41	Disease + Drug
Glucose	850000	P-value < 5e-8	All SNPs	17	2.4	Disease + Drug
Glucose	860000	P-value < 5e-8	All SNPs	18	2.51	Disease + Drug
Glucose	870000	P-value < 5e-8	All SNPs	18	2.49	Disease + Drug
Glucose	880000	P-value < 5e-8	All SNPs	18	2.47	Disease + Drug
Glucose	890000	P-value < 5e-8	All SNPs	19	2.57	Disease + Drug
Glucose	900000	P-value < 5e-8	All SNPs	19	2.55	Disease + Drug
Glucose	910000	P-value < 5e-8	All SNPs	19	2.53	Disease + Drug
Glucose	920000	P-value < 5e-8	All SNPs	19	2.5	Disease + Drug
Glucose	930000	P-value < 5e-8	All SNPs	19	2.48	Disease + Drug
Glucose	940000	P-value < 5e-8	All SNPs	19	2.47	Disease + Drug
Glucose	950000	P-value < 5e-8	All SNPs	19	2.45	Disease + Drug
Glucose	960000	P-value < 5e-8	All SNPs	19	2.43	Disease + Drug
Glucose	970000	P-value < 5e-8	All SNPs	19	2.41	Disease + Drug
Glucose	980000	P-value < 5e-8	All SNPs	19	2.39	Disease + Drug
Glucose	990000	P-value < 5e-8	All SNPs	19	2.37	Disease + Drug
Glucose	1000000	P-value < 5e-8	All SNPs	19	2.34	Disease + Drug
Glucose	10000	log10 BF > 2	DHS SNPs	5	23.91	Disease + Drug
Glucose	20000	log10 BF > 2	DHS SNPs	7	20.19	Disease + Drug
Glucose	30000	log10 BF > 2	DHS SNPs	8	18.17	Disease + Drug
Glucose	40000	log10 BF > 2	DHS SNPs	9	17.21	Disease + Drug
Glucose	50000	log10 BF > 2	DHS SNPs	9	14.1	Disease + Drug
Glucose	60000	log10 BF > 2	DHS SNPs	10	13.71	Disease + Drug
Glucose	70000	log10 BF > 2	DHS SNPs	10	12.07	Disease + Drug
Glucose	80000	log10 BF > 2	DHS SNPs	10	10.82	Disease + Drug
Glucose	90000	log10 BF > 2	DHS SNPs	10	10.15	Disease + Drug
Glucose	100000	log10 BF > 2	DHS SNPs	10	9.51	Disease + Drug
Glucose	110000	log10 BF > 2	DHS SNPs	10	8.74	Disease + Drug
Glucose	120000	log10 BF > 2	DHS SNPs	10	8.39	Disease + Drug
Glucose	130000	log10 BF > 2	DHS SNPs	10	7.9	Disease + Drug
Glucose	140000	log10 BF > 2	DHS SNPs	10	7.4	Disease + Drug
Glucose	150000	log10 BF > 2	DHS SNPs	10	7.06	Disease + Drug
Glucose	160000	log10 BF > 2	DHS SNPs	10	6.81	Disease + Drug
Glucose	170000	log10 BF > 2	DHS SNPs	10	6.47	Disease + Drug
Glucose	180000	log10 BF > 2	DHS SNPs	10	6.24	Disease + Drug
Glucose	190000	log10 BF > 2	DHS SNPs	10	5.99	Disease + Drug
Glucose	200000	log10 BF > 2	DHS SNPs	10	5.83	Disease + Drug
Glucose	210000	log10 BF > 2	DHS SNPs	11	6.27	Disease + Drug
Glucose	220000	log10 BF > 2	DHS SNPs	11	5.99	Disease + Drug
Glucose	230000	log10 BF > 2	DHS SNPs	11	5.83	Disease + Drug
Glucose	240000	log10 BF > 2	DHS SNPs	11	5.62	Disease + Drug
